,count,disabled_count,area_sum,area_mean,area_median,area_percent_sum,area_percent_mean,area_percent_median,capacity_sum,capacity_mean,capacity_median,capacity:disabled_sum,capacity:disabled_mean,capacity:disabled_median,efficiency_sum,efficiency_mean,efficiency_median,count_disabled
surface,194.0,,255091.3728406065,1314.9039837144664,754.5608393719612,12.63692749407215,0.06513880151583583,0.037380059195368534,8299.0,42.77835051546392,26.5,170.0,2.9310344827586206,2.0,6313.588062463758,32.54426836321525,28.98153244398669,58.0
structured,18.0,,70135.16940936331,3896.398300520184,2653.3487896514166,3.4744140530553738,0.19302300294752076,0.13144378776094612,13726.0,762.5555555555555,395.0,127.0,63.5,63.5,160.2528776457403,8.902937646985572,6.867319027422351,2.0
underground,11.0,,,,,,,,1832.0,166.54545454545453,160.0,9.0,9.0,9.0,,,,1.0
street,,,35947.623588480004,,,1.7808031209102004,,,2529.0,,,,,,14.214165120000002,,,
