,osmid,name,geometry,highway,nodes,oneway,parking:lane:left,parking:lane:both,parking:lane:right,parking:lane:left:capacity,parking:lane:both:capacity,parking:lane:right:capacity,capacity,surface,lanes,cycleway
67,293376987,Washington Street,"LINESTRING (-71.4178177 41.8208585, -71.4179101 41.820796, -71.4179587 41.8207602, -71.4184447 41.8204564, -71.418614 41.8203537, -71.4186733 41.8203178, -71.4187489 41.8202739, -71.4188454 41.8202178)",secondary,"[5689661222, 3732205704, 201734872, 5895929184, 3732205714, 5895929182, 6688119977, 201460618]",,,parallel,,0,14,0,14,asphalt,,
68,293376988,Greene Street,"LINESTRING (-71.4172187 41.8212822, -71.4172943 41.8213342, -71.4177395 41.8216801, -71.4177494 41.8216878, -71.4178415 41.8217418, -71.4178954 41.8217657, -71.4184251 41.8220778, -71.4185118 41.8221412, -71.418564 41.822193, -71.418633 41.8222891, -71.4187074 41.8223815)",unclassified,"[201734869, 5689659083, 9906945695, 201749140, 201452800, 201749143, 201749145, 5895929586, 201749148, 5689645418, 201220759]",yes,diagonal,,parallel,12,0,7,19,asphalt,,
69,293376990,Broadway,"LINESTRING (-71.4184338 41.8225011, -71.4186261 41.8224095, -71.4187074 41.8223815, -71.4190488 41.822258, -71.4194676 41.8221452, -71.4196447 41.8221096, -71.4197658 41.8220852)",secondary,"[201220585, 5689645417, 201220759, 201220579, 418098439, 5689636242, 201220577]",no,parallel,,,7,0,0,7,asphalt,4,lane
70,352339439,Bassett Street,"LINESTRING (-71.4115465 41.8175, -71.411812 41.817234)",unclassified,"[201724711, 201215980]",,,,parallel,0,0,4,4,asphalt,,
71,371935391,Delta Street,"LINESTRING (-71.4098096 41.8239831, -71.4097453 41.8239777, -71.4092699 41.8239376, -71.4089933 41.8239142, -71.4088706 41.8239039, -71.4088504 41.8238917, -71.4088093 41.8238669, -71.4087733 41.8238223)",unclassified,"[201718056, 9849168783, 9021122452, 9021122454, 3754811960, 9021122456, 3754811958, 3754811957]",,,parallel,,0,6,0,6,asphalt,1,
72,384206233,Exchange Terrace,"LINESTRING (-71.4107504 41.8267191, -71.410828 41.8266641, -71.41086 41.8266414, -71.4114513 41.8262259, -71.4114986 41.8262, -71.4116178 41.8261504)",secondary,"[201260844, 8996347303, 3190066529, 201260841, 201260838, 201260835]",yes,,parallel,,0,14,0,14,asphalt,2,
73,384206240,West Exchange Street,"LINESTRING (-71.4153206 41.8248623, -71.4154324 41.8248842, -71.4155109 41.8248848, -71.4156551 41.824886, -71.4158132 41.8248608)",tertiary,"[201712126, 6658050237, 8996526309, 6658050236, 201156465]",yes,,,parallel,0,0,2,2,asphalt,,
74,423738878,Clifford Street,"LINESTRING (-71.4087991 41.8216163, -71.4088623 41.8215495, -71.4094176 41.820962, -71.4095482 41.8208238, -71.4103998 41.8199228, -71.4104404 41.8198799)",tertiary,"[201360666, 9849168937, 201360676, 9925766625, 9903029667, 4569158432]",yes,,,parallel,0,0,32,32,asphalt,,shared_lane
75,452481929,Point Street,"LINESTRING (-71.4045244 41.8176463, -71.4046649 41.8176054, -71.4050006 41.8174892, -71.4055109 41.8172631, -71.405647 41.817207, -71.4063888 41.8169369, -71.4064653 41.8168807)",primary,"[201302501, 8996347538, 4492742801, 4492742818, 201302717, 6188676783, 201302714]",yes,,,parallel,0,0,16,16,asphalt,2,
76,461418240,Friendship Street,"LINESTRING (-71.411136 41.8202513, -71.4110878 41.8202991, -71.410909 41.820486, -71.410544 41.8208633, -71.410147 41.8212915, -71.409863 41.8215769, -71.4094869 41.8219592, -71.4094379 41.8220119, -71.4093766 41.8220822, -71.4092139 41.8222698)",tertiary,"[201521567, 9903029649, 8684314361, 201776691, 201786118, 201680141, 5152253108, 201411335, 5152253110, 8280304183]",yes,,parallel,,0,39,0,39,asphalt,,
77,461418252,Ship Street,"LINESTRING (-71.4098628 41.819008, -71.4102208 41.8189797, -71.410591 41.8189587, -71.4108215 41.8189529, -71.4112716 41.8189416, -71.4112883 41.8189416, -71.4113436 41.8189316)",unclassified,"[201209519, 9908592451, 201724703, 7150287909, 9870792016, 6688133306, 201735888]",yes,parallel,,,10,0,0,10,asphalt,,
78,461418257,Ship Street,"LINESTRING (-71.4098628 41.819008, -71.4091485 41.8191352, -71.409113 41.8191409)",unclassified,"[201209519, 9870791939, 201521613]",no,parallel,,,5,0,0,5,asphalt,,
79,543709163,Dorrance Street,"LINESTRING (-71.4087991 41.8216163, -71.4087342 41.8215763, -71.4086278 41.8215108, -71.4083187 41.8213203, -71.4082645 41.821286, -71.4081521 41.8212104)",secondary,"[201360666, 9849168919, 9847025219, 9847025222, 6688133309, 5255991882]",,,parallel,,0,9,0,9,asphalt,,shared_lane
80,544197958,Dyer Street,"LINESTRING (-71.4081521 41.8212104, -71.4081583 41.8213387, -71.4081815 41.8216399, -71.4082007 41.8219891, -71.4082204 41.8221573, -71.4082273 41.8222311, -71.4082338 41.8223001)",primary,"[5255991882, 201569735, 201569740, 6755695544, 201123251, 6755695537, 4041069695]",no,parallel,,,7,0,0,7,asphalt,3,
81,547275325,North Main Street,"LINESTRING (-71.409637 41.828655, -71.4097327 41.8289255, -71.4097652 41.8290237, -71.409813 41.829164, -71.4099897 41.8296902, -71.4101445 41.8301493, -71.4102388 41.8304393, -71.4102882 41.8305707, -71.4103968 41.8308599, -71.4104234 41.8309357, -71.4106085 41.8314679, -71.4106391 41.8315559)",primary,"[201401178, 201401181, 1957908693, 201401184, 201401194, 201401197, 201401199, 9857773705, 201361372, 201401202, 9913594792, 201378409]",yes,,parallel,,0,0,0,0,asphalt,2,
82,547275326,Washington Street,"LINESTRING (-71.4164383 41.8218693, -71.4165237 41.8218051, -71.41684 41.8215671, -71.4171118 41.8213626, -71.417152 41.8213324, -71.4172187 41.8212822)",secondary,"[201461438, 5689638619, 201638338, 9001717858, 5689659080, 201734869]",,,parallel,,0,10,0,10,asphalt,,
83,547275327,Empire Street,"LINESTRING (-71.4164383 41.8218693, -71.4164987 41.8219219, -71.4165743 41.8219782, -71.4169278 41.8222417, -71.4170333 41.822318, -71.4171146 41.8223653)",secondary,"[201461438, 5689638620, 201461441, 201461443, 5689660018, 201452794]",no,,parallel,,0,13,0,13,asphalt,3,
84,547362085,Exchange Street,"LINESTRING (-71.4110547 41.8257367, -71.4111312 41.8257853, -71.4116178 41.8261504)",secondary,"[201246119, 1359940922, 201260835]",no,parallel,,,6,0,0,6,asphalt,3,share_busway
85,547362086,Dorrance Street,"LINESTRING (-71.4123021 41.8241342, -71.4122586 41.8241012, -71.41224 41.8240853, -71.4122033 41.8240548, -71.4117115 41.8236522, -71.4116573 41.8236068, -71.4116186 41.8235791, -71.411583 41.823551, -71.411339 41.823357, -71.4110446 41.823137, -71.41099 41.8230979)",secondary,"[201315106, 201411302, 9888577747, 1359940899, 9888578017, 201319554, 9888578018, 201411306, 201411309, 5152350663, 201411316]",,,parallel,,0,35,0,35,asphalt,,
86,560205081,North Main Street,"LINESTRING (-71.4078477 41.8256958, -71.4078988 41.8257508, -71.4080521 41.8259161, -71.4081761 41.8260529, -71.408197 41.826076, -71.408251 41.8261633, -71.408278 41.826207, -71.4083692 41.8263539, -71.4085148 41.8265884, -71.4086744 41.8268497)",primary,"[201347292, 9875332531, 201401167, 8996347356, 201344814, 9023193852, 201369750, 9512708200, 8996347365, 446866033]",yes,,parallel,,0,20,0,20,asphalt,2,
87,560508842,Exchange Terrace,"LINESTRING (-71.4122493 41.8259199, -71.4125666 41.8258011, -71.4127823 41.8257118)",secondary,"[5406116903, 201260829, 1359932422]",,,,parallel,0,0,5,5,asphalt,,shared_lane
88,560508849,Exchange Terrace,"LINESTRING (-71.4118233 41.8260666, -71.4120967 41.8259704)",secondary,"[5288955950, 5405414118]",,,,parallel,0,0,4,4,asphalt,,shared_lane
89,560578498,Park Row West,"LINESTRING (-71.4117061 41.8286418, -71.4117823 41.8286966, -71.4122197 41.8290124, -71.4122897 41.8290616)",tertiary,"[201304007, 201304012, 1593531146, 201303978]",,,parallel,,0,10,0,10,asphalt,,
90,560578499,Park Row West,"LINESTRING (-71.4128197 41.8286258, -71.4130728 41.8284267, -71.4131121 41.8283977, -71.4131718 41.8283531)",tertiary,"[5406116904, 5689668853, 201303980, 201246145]",,parallel,,,4,0,0,4,asphalt,,
91,560828704,Weybosset Street,"LINESTRING (-71.413401 41.8206418, -71.4132895 41.8207204, -71.4132484 41.8207528, -71.4131649 41.8208246, -71.413009 41.8209995, -71.4129378 41.8210846, -71.4128988 41.8211271, -71.4128339 41.8211952, -71.4127921 41.8212449, -71.412777 41.8212628, -71.4126831 41.8213756, -71.4126262 41.8214444, -71.4125778 41.8214941, -71.4124356 41.8216362, -71.4124233 41.821649, -71.4122437 41.821829)",secondary,"[201136968, 7728943911, 201606013, 201718130, 201718122, 5423557363, 7869917726, 201521547, 201718116, 9867262038, 7869917732, 201718111, 7869917731, 9867262043, 201718102, 201718075]",no,,parallel,,0,12,0,12,asphalt,,
92,562602118,Weybosset Street,"LINESTRING (-71.4097137 41.824475, -71.4097147 41.8245273, -71.4097172 41.8246669, -71.4097193 41.8247824)",secondary,"[201718051, 9021122446, 9888577750, 201368211]",yes,,parallel,,0,10,0,10,asphalt,,
93,562602211,Sabin Street,"LINESTRING (-71.4166805 41.8236445, -71.4167214 41.8236099, -71.4167872 41.8235542)",secondary,"[5423557365, 8996842705, 201168275]",yes,parallel,,parallel,8,0,5,13,asphalt,3,shared_lane
94,633905019,Empire Street,"LINESTRING (-71.4164383 41.8218693, -71.4163679 41.8218134, -71.415739 41.8213255, -71.4155832 41.8212046, -71.4153961 41.8210592)",secondary,"[201461438, 5689639722, 7046215810, 201461434, 5423557364]",no,,parallel,,0,24,0,24,asphalt,3,
95,635362847,South Main Street,"LINESTRING (-71.4058421 41.8231838, -71.4061676 41.8235193, -71.4063817 41.8237289, -71.4065477 41.8239151, -71.4066067 41.8239813, -71.4066995 41.8240864, -71.4068399 41.824266, -71.406868 41.82431, -71.406902 41.8243613, -71.4070081 41.8245181, -71.4071336 41.824704, -71.4073306 41.824997, -71.4075499 41.8252988, -71.4077893 41.8256255, -71.4077944 41.8256311, -71.4078477 41.8256958)",primary,"[201302791, 201347329, 201347325, 9879846035, 201347324, 3660992631, 201347316, 201347309, 9901073346, 8996347140, 201347306, 201347302, 8996777407, 5145079305, 8996347205, 201347292]",yes,,parallel,,0,71,0,71,asphalt,2,
96,635362848,South Water Street,"LINESTRING (-71.4060004 41.8223892, -71.4057293 41.8221228, -71.4053978 41.8217915, -71.4053586 41.8217523, -71.4049302 41.8212963, -71.4045121 41.8208655, -71.4044865 41.8208353, -71.404291 41.8206133, -71.4042454 41.8205614)",primary,"[201260632, 201324197, 8996347484, 201324201, 4436874469, 3650840808, 5857147588, 8996347468, 622606000]",yes,,parallel,,0,52,0,52,asphalt,1,
97,660831873,Friendship Street,"LINESTRING (-71.4143629 41.816884, -71.4143295 41.8169189, -71.4130893 41.818213, -71.4130491 41.818255, -71.4122421 41.8190971, -71.4121926 41.8191488, -71.4121342 41.8192097, -71.4120578 41.8192894, -71.4119369 41.8194156, -71.4117389 41.8196222, -71.4115532 41.819816, -71.4113944 41.8199817, -71.4113321 41.8200467, -71.4111757 41.8202099, -71.411136 41.8202513)",tertiary,"[4569158430, 9904648008, 9904647931, 4569158431, 9904647910, 201708273, 9903029662, 8280339424, 8280339428, 9908592430, 9908592434, 9908592421, 9908592448, 9903029657, 201521567]",yes,,,parallel,0,0,47,47,asphalt,2,shared_lane
98,660831878,Richmond Street,"LINESTRING (-71.4104404 41.8198799, -71.4103968 41.8198527, -71.4101519 41.8197155, -71.4099731 41.8196144, -71.409856 41.8195538, -71.4097416 41.8194923)",tertiary,"[4569158432, 9903029666, 201521594, 201521597, 201521601, 3509420239]",,parallel,,,12,0,0,12,asphalt,2,shared_lane
99,660831883,Chestnut Street,"LINESTRING (-71.4129451 41.8194654, -71.412879 41.8194376, -71.4122447 41.819171, -71.4121926 41.8191488)",tertiary,"[201622522, 9904647896, 9904647908, 201708273]",,parallel,,,6,0,0,6,asphalt,,
100,673810543,Weybosset Street,"LINESTRING (-71.4122437 41.821829, -71.4121753 41.8218503, -71.4121285 41.8219421, -71.411941 41.8221256, -71.4119099 41.8221566, -71.4114901 41.8226296, -71.411462 41.8226613)",secondary,"[201718075, 7869917739, 9023063933, 7869917745, 201545094, 7869917749, 201680205]",no,parallel,,,12,0,0,12,asphalt,,
101,682610868,Orange Street,"LINESTRING (-71.4090516 41.8224569, -71.4085145 41.8221363, -71.4084312 41.8220873, -71.4083706 41.822059)",unclassified,"[201762183, 8280304171, 201762190, 2782796076]",yes,,parallel,,0,17,0,17,asphalt,,
102,696714159,Weybosset Street,"LINESTRING (-71.4143531 41.8201131, -71.4142396 41.8201977, -71.4141318 41.820266, -71.4140966 41.8202898, -71.4140437 41.8203256, -71.4138768 41.8204224, -71.4136793 41.8205104, -71.4135567 41.8205686, -71.4134651 41.8206136, -71.413401 41.8206418)",secondary,"[201381708, 201718154, 201718150, 9904639196, 201718146, 201718141, 201411617, 201718138, 201718136, 201136968]",no,,parallel,,0,18,0,18,asphalt,,
103,746908412,Weybosset Street,"LINESTRING (-71.4102705 41.8235813, -71.41008 41.823723, -71.4100198 41.8237757, -71.4099602 41.8238279, -71.4099169 41.8238657, -71.4099064 41.8238749, -71.4098096 41.8239831, -71.4097574 41.8240803, -71.4097244 41.8241892, -71.4097082 41.824315, -71.4097137 41.824475)",secondary,"[201271490, 201718058, 8999026726, 7869917755, 9021122473, 201209924, 201718056, 6658050244, 201718054, 201284791, 201718051]",yes,parallel,,,12,0,0,12,asphalt,2,
104,751130790,Eddy Street,"LINESTRING (-71.410347 41.82217, -71.410276 41.8221319, -71.4102199 41.8220753, -71.4100013 41.8217701, -71.4099551 41.8217056, -71.409863 41.8215769)",unclassified,"[201583981, 201680133, 201680135, 8280304168, 6862343499, 201680141]",,parallel,,,12,0,0,12,asphalt,,
105,761371751,Planet Street,"LINESTRING (-71.4064443 41.8228514, -71.4063796 41.822886, -71.4059112 41.8231452, -71.4058421 41.8231838)",unclassified,"[201302782, 8996347435, 9879846036, 201302791]",,,parallel,,0,17,0,17,asphalt,,
106,761371753,South Water Street,"LINESTRING (-71.4064443 41.8228514, -71.4064163 41.8228234, -71.4062371 41.8226357, -71.4060314 41.8224215, -71.4060004 41.8223892)",primary,"[201302782, 8996347437, 201324190, 8996347427, 201260632]",yes,parallel,,,4,0,0,4,asphalt,1,
107,761371755,South Water Street,"LINESTRING (-71.4070285 41.82351, -71.4069142 41.8233553, -71.4068179 41.8232193)",primary,"[7113443447, 201324177, 5993582513]",yes,parallel,,,3,0,0,3,asphalt,1,
108,761371756,North Main Street,"LINESTRING (-71.4088784 41.8271941, -71.4090155 41.8274189, -71.409058 41.827488)",primary,"[7113443448, 9870791793, 2462943205]",yes,,,parallel,0,0,4,4,asphalt,2,
109,761371757,Pine Street,"LINESTRING (-71.4129451 41.8194654, -71.4130004 41.8194335, -71.4133768 41.8190209)",unclassified,"[201622522, 6658050238, 201583995]",yes,,parallel,,0,14,0,14,asphalt,,
110,761371761,Pine Street,"LINESTRING (-71.4091607 41.8234089, -71.4091763 41.8233914, -71.4092883 41.8232661, -71.4094501 41.8230902)",unclassified,"[201320127, 9021122472, 9021122482, 201271494]",yes,,,parallel,0,0,4,4,asphalt,,
111,761371762,Pine Street,"LINESTRING (-71.4084007 41.8238749, -71.4084909 41.8238736, -71.4085015 41.8238734, -71.4086245 41.8238643, -71.4087208 41.8238438, -71.4087733 41.8238223, -71.4088813 41.8237204, -71.4090096 41.8235735, -71.4091227 41.8234544, -71.4091331 41.8234419, -71.4091607 41.8234089)",unclassified,"[201569840, 9888153710, 6658050240, 6658050239, 201583969, 3754811957, 7129729867, 7129729864, 201209932, 9021122478, 201320127]",yes,parallel,,,6,0,0,6,asphalt,,
112,761371763,Eddy Street,"LINESTRING (-71.411974 41.8229237, -71.4118386 41.8228543, -71.4116521 41.8227586, -71.4115231 41.8226924, -71.411462 41.8226613)",tertiary,"[201605079, 8996542253, 8996542255, 7869917750, 201680205]",yes,parallel,,,6,0,0,6,asphalt,,
113,761371764,Eddy Street,"LINESTRING (-71.4128859 41.8236254, -71.4123818 41.8232004, -71.4123196 41.823148)",tertiary,"[7113443470, 6658050229, 201319557]",yes,parallel,,,0,0,9,9,asphalt,,
114,761371765,Union Street,"LINESTRING (-71.4128808 41.8227444, -71.4129342 41.8227862, -71.4134725 41.8232081, -71.413719 41.823414, -71.4139365 41.8235783)",unclassified,"[201319565, 9867262035, 201545081, 201545077, 6658046711]",yes,,,parallel,0,0,16,16,asphalt,,
115,761371767,Union Street,"LINESTRING (-71.4146289 41.8240937, -71.4149192 41.8243187)",tertiary,"[201436487, 5689637469]",yes,,,parallel,0,0,5,5,asphalt,,
116,761371769,Union Street,"LINESTRING (-71.4140603 41.8236658, -71.4143488 41.8238856, -71.4146289 41.8240937)",tertiary,"[6658046712, 201545069, 201436487]",yes,,,parallel,0,0,9,9,asphalt,,
117,761371771,Fountain Street,"LINESTRING (-71.416214 41.82317, -71.4161568 41.8232348, -71.415878 41.823551, -71.4157861 41.8236564, -71.4157327 41.8237176)",secondary,"[201168268, 8996842724, 201452783, 9888577731, 201452780]",yes,,parallel,,0,11,0,11,asphalt,2,
118,761371772,Fountain Street,"LINESTRING (-71.416794 41.8226245, -71.4167153 41.8226836, -71.416565 41.822826, -71.416214 41.82317)",secondary,"[201452790, 8996842711, 201452786, 201168268]",yes,,parallel,,0,14,0,14,asphalt,2,
119,761371773,Adrian Hill Way,"LINESTRING (-71.4162961 41.822381, -71.4167118 41.8225839, -71.416794 41.8226245)",unclassified,"[7113443450, 5689642721, 201452790]",yes,diagonal,,,4,0,0,4,asphalt,,
120,761371774,Washington Street,"LINESTRING (-71.4172187 41.8212822, -71.4172887 41.8212341, -71.4178177 41.8208585)",secondary,"[201734869, 5689659082, 5689661222]",,,parallel,,0,10,0,10,asphalt,,
121,761371775,Richmond Street,"LINESTRING (-71.411136 41.8202513, -71.4111822 41.8202782, -71.411196 41.8202854, -71.4112772 41.820329, -71.4117748 41.8205966, -71.4118189 41.8206204)",tertiary,"[201521567, 9903029655, 201521566, 8684314357, 9906940259, 201521561]",yes,,parallel,,0,15,0,15,asphalt,,
122,761371777,Orange Street,"LINESTRING (-71.410568 41.8233779, -71.4105291 41.823345, -71.4105028 41.8233228, -71.4097482 41.8228722, -71.4097031 41.8228453)",unclassified,"[201718060, 7869917757, 6658050242, 9908592478, 201583977]",yes,,parallel,,0,22,0,22,asphalt,,
123,761371778,Orange Street,"LINESTRING (-71.4097031 41.8228453, -71.4090516 41.8224569)",unclassified,"[201583977, 201762183]",,,parallel,,0,15,0,15,asphalt,,
124,761371779,Friendship Street,"LINESTRING (-71.4090516 41.8224569, -71.4088233 41.8226794, -71.4087754 41.8227249)",tertiary,"[201762183, 5152389395, 201271496]",yes,,,parallel,0,0,3,3,asphalt,,
125,761371780,Eddy Street,"LINESTRING (-71.4107225 41.822348, -71.4104096 41.8221996, -71.4104004 41.8221946, -71.410347 41.82217)",service,"[7022322694, 9023063923, 9849168677, 201583981]",,,parallel,,5,0,0,5,asphalt,,
126,761371781,Page Street,"LINESTRING (-71.4113018 41.8211593, -71.4112581 41.8211424, -71.4106057 41.8208874, -71.410544 41.8208633)",unclassified,"[201583986, 9906940257, 9906940258, 201776691]",yes,,,parallel,0,0,7,7,asphalt,,
127,761371783,Mathewson Street,"LINESTRING (-71.4136426 41.8222006, -71.4136778 41.8222273, -71.4141995 41.8226225, -71.4144367 41.8228022)",tertiary,"[201319573, 9908302603, 8998914135, 201475457]",yes,parallel,,,8,0,0,8,asphalt,,
128,761371784,Mathewson Street,"LINESTRING (-71.4144367 41.8228022, -71.4147096 41.8230163, -71.4147746 41.8230672)",tertiary,"[201475457, 9908302608, 201734806]",yes,,,parallel,0,0,6,6,asphalt,,
129,761371788,West Exchange Street,"LINESTRING (-71.4190428 41.8249092, -71.4189023 41.8248803, -71.4188206 41.8248635, -71.4185744 41.8248285, -71.4183286 41.8248232, -71.4181409 41.8248279, -71.4180638 41.8248298)",tertiary,"[1044294769, 8996787009, 6658050234, 1044294815, 6658050235, 8996787010, 6186953104]",,parallel,,,10,0,0,10,asphalt,2,
130,761371790,Washington Street,"LINESTRING (-71.4139954 41.8236234, -71.414031 41.8236001, -71.4143794 41.8233472)",secondary,"[201545073, 9888236426, 201305064]",,,parallel,,0,8,0,8,asphalt,,
131,761371791,Washington Street,"LINESTRING (-71.4143794 41.8233472, -71.4147431 41.8230893, -71.4147746 41.8230672)",secondary,"[201305064, 9867262022, 201734806]",,parallel,,,4,0,0,4,asphalt,,
132,761371792,Washington Street,"LINESTRING (-71.4147746 41.8230672, -71.4148232 41.8230322, -71.4153831 41.8226294, -71.4154431 41.8225863, -71.4154624 41.8225724, -71.4154993 41.8225458)",secondary,"[201734806, 9867262023, 8996842728, 201606047, 9888578015, 201605998]",,,parallel,,0,17,0,17,asphalt,,
133,761371793,Washington Street,"LINESTRING (-71.4154993 41.8225458, -71.415729 41.8223805, -71.4159313 41.822235)",secondary,"[201605998, 9001625250, 201551651]",,,parallel,,0,8,0,8,asphalt,,
134,761371794,Washington Street,"LINESTRING (-71.4127735 41.8244612, -71.4128671 41.8244241, -71.4133743 41.8240664, -71.4134235 41.8240345)",secondary,"[201315081, 1359940876, 5689667905, 201680181]",,,parallel,,0,15,0,15,asphalt,2,
135,761371796,Eddy Street,"LINESTRING (-71.4134235 41.8240345, -71.4133603 41.823987, -71.4129394 41.8236705)",tertiary,"[201680181, 5689667907, 201680185]",yes,parallel,,parallel,7,0,6,13,asphalt,,
136,761494793,South Street,"LINESTRING (-71.410065 41.81646, -71.4101143 41.8164407, -71.4109918 41.8160971)",unclassified,"[201315006, 7273430284, 201215989]",no,parallel,,,5,0,0,5,asphalt,,
137,761494794,Richmond Street,"LINESTRING (-71.4082475 41.8179582, -71.4082172 41.8179147, -71.4081604 41.817833, -71.407906 41.817467, -71.4078687 41.8174092, -71.407844 41.817371, -71.4078138 41.8173269, -71.4073101 41.8166264, -71.4072555 41.8165497)",tertiary,"[201423870, 7273430088, 8454769143, 201521620, 7273430094, 201314996, 7273430097, 7273430104, 201302710]",,parallel,,,18,0,0,18,asphalt,,
138,761494795,Bassett Street,"LINESTRING (-71.4106289 41.8184339, -71.4106497 41.8184005, -71.4108195 41.8181918, -71.4109509 41.8180589, -71.4111096 41.817942, -71.4115465 41.8175)",unclassified,"[201708114, 9904648036, 9908428944, 9908428945, 201639554, 201724711]",,,parallel,,0,10,0,10,asphalt,,
139,761494796,Chestnut Street,"LINESTRING (-71.4121926 41.8191488, -71.4121134 41.8191147, -71.4118254 41.8189895, -71.4115276 41.8188599, -71.411498 41.8188381, -71.411463 41.8188073)",tertiary,"[201708273, 9904647911, 9908428964, 9904648042, 7752001677, 4569158439]",,,parallel,,0,4,0,4,asphalt,,
140,761494797,Clifford Street,"LINESTRING (-71.4123335 41.8178927, -71.4123722 41.8178522, -71.413612 41.8165558, -71.4136223 41.8165506, -71.4137158 41.8164982)",tertiary,"[201360701, 9904647938, 7752001675, 9904647945, 4233047293]",yes,,,parallel,0,0,23,23,asphalt,1,
141,761494799,Hospital Street,"LINESTRING (-71.409497 41.8156714, -71.4094568 41.8156148, -71.4092432 41.8153188)",unclassified,"[201302692, 4405117517, 7114724557]",,parallel,,,5,0,0,5,asphalt,,
142,830380710,Clifford Street,"LINESTRING (-71.4104404 41.8198799, -71.4104886 41.8198293, -71.4105298 41.819786, -71.4113436 41.8189316)",tertiary,"[4569158432, 9903029668, 7150287908, 201735888]",yes,,,parallel,0,0,32,32,asphalt,,
143,908647735,Sabin Street,"LINESTRING (-71.4167872 41.8235542, -71.4173236 41.8230815, -71.4175174 41.8229663, -71.417717 41.8228441, -71.417794 41.8227862)",secondary,"[201168275, 8996842708, 9888569607, 5689645343, 201551681]",yes,parallel,,parallel,8,0,5,13,asphalt,3,shared_lane
144,914887001,Park Street,"LINESTRING (-71.4156439 41.8343749, -71.4154128 41.8346848, -71.4153286 41.8347749)",tertiary,"[6658046740, 6658046742, 201503393]",yes,,parallel,,0,38,0,38,asphalt,2,
145,983758237,Richmond Street,"LINESTRING (-71.4097212 41.8194813, -71.40925 41.8192268, -71.409173 41.8191884, -71.409156 41.8191749, -71.409113 41.8191409)",tertiary,"[6755973818, 201521605, 201521609, 9870792007, 201521613]",,parallel,,,12,0,0,12,asphalt,2,shared_lane
146,983758238,Richmond Street,"LINESTRING (-71.4097416 41.8194923, -71.4097212 41.8194813)",tertiary,"[3509420239, 6755973818]",,parallel,,,12,0,0,12,asphalt,2,shared_lane
147,983758240,Chestnut Street,"LINESTRING (-71.411463 41.8188073, -71.4114186 41.8187847, -71.4110352 41.8186144, -71.4108012 41.8185104, -71.4106879 41.8184601, -71.4106289 41.8184339, -71.4105882 41.8184156, -71.4100243 41.8181654, -71.4099774 41.8181445)",tertiary,"[4569158439, 9904648039, 7079844803, 7079844804, 9904648035, 201708114, 9904648033, 9870792013, 201209532]",,parallel,,,24,0,0,24,asphalt,,
148,983758241,Pine Street,"LINESTRING (-71.4133768 41.8190209, -71.4136401 41.8187486, -71.413719 41.8186668)",unclassified,"[201583995, 9904647885, 201760865]",yes,,parallel,,0,34,0,34,asphalt,,
149,983758242,Broad Street,"LINESTRING (-71.4149542 41.8194196, -71.4149007 41.819479, -71.4145483 41.8198782, -71.4144095 41.8200455, -71.4143531 41.8201131)",secondary,"[201179853, 7869917710, 201381712, 7869917715, 201381708]",,,parallel,,0,32,0,32,asphalt,,
150,1024908434,,"LINESTRING (-71.4110735 41.825026, -71.4106647 41.8253158, -71.4105988 41.8253915)",unclassified,"[9450378260, 9450378261, 201246122]",yes,,,parallel,0,0,6,6,asphalt,1,
151,1024908435,,"LINESTRING (-71.4123021 41.8241342, -71.412173 41.8242154, -71.4121196 41.8242429, -71.4119609 41.8243578, -71.4118698 41.8244535, -71.4117418 41.824547, -71.4116618 41.8246041, -71.4113913 41.8247935, -71.4110735 41.825026)",unclassified,"[201315106, 9888577745, 9450378263, 9450378264, 9450378265, 9450378266, 9450378267, 9450378268, 9450378260]",yes,,,parallel,0,0,12,12,asphalt,1,
152,1040524422,Fountain Street,"LINESTRING (-71.4149284 41.824446, -71.4148455 41.8245362)",secondary,"[201452763, 9580612989]",yes,,,parallel,0,0,4,4,asphalt,2,
153,1055314167,Canal Street,"LINESTRING (-71.4113344 41.8314336, -71.411324 41.831219, -71.4113056 41.831133, -71.4112145 41.8307069)",primary,"[201378413, 201578256, 1593530830, 9697063202]",yes,,,parallel,0,0,43,43,asphalt,3,
154,1078485934,Friendship Street,"LINESTRING (-71.4092139 41.8222698, -71.4090516 41.8224569)",tertiary,"[8280304183, 201762183]",yes,,parallel,,0,39,0,39,asphalt,,
155,1078485935,Weybosset Street,"LINESTRING (-71.410568 41.8233779, -71.4103808 41.8235059)",secondary,"[201718060, 7284471226]",yes,parallel,,parallel,4,0,2,6,asphalt,,
156,1078485936,Weybosset Street,"LINESTRING (-71.4103808 41.8235059, -71.4102705 41.8235813)",secondary,"[7284471226, 201271490]",yes,parallel,,parallel,4,0,2,6,asphalt,,
157,1083057108,Clifford Street,"LINESTRING (-71.4082204 41.8221573, -71.4083182 41.822105, -71.4083706 41.822059, -71.4087991 41.8216163)",tertiary,"[201123251, 6688133307, 2782796076, 201360666]",yes,,,parallel,0,0,32,32,asphalt,,shared_lane
158,1083068777,Eddy Street,"LINESTRING (-71.4129394 41.8236705, -71.4128859 41.8236254)",tertiary,"[201680185, 7113443470]",yes,parallel,,parallel,7,0,6,13,asphalt,,
