,osmid,name,geometry,highway,nodes,oneway,parking:lane:left,parking:lane:both,parking:lane:right,parking:lane:left:capacity,parking:lane:both:capacity,parking:lane:right:capacity,capacity,surface,lanes,cycleway
13,19371263,North Main Street,"LINESTRING (-71.409058 41.827488, -71.4091081 41.8275696, -71.409184 41.827695, -71.409302 41.8278888, -71.409351 41.827972, -71.409447 41.828136, -71.409523 41.8283182, -71.409538 41.828354, -71.4095867 41.8285113, -71.4095945 41.8285336, -71.409637 41.828655)",primary,"[2462943205, 9870791790, 201164458, 201401172, 201164445, 4221450297, 9023416269, 201401176, 201312046, 9870791783, 201401178]",yes,,parallel,,0,25,0,25,asphalt,2,
14,19373122,Elm Street,"LINESTRING (-71.4074809 41.8182697, -71.4075573 41.8182371, -71.4075889 41.8182235, -71.408163 41.8179922, -71.4081872 41.8179825, -71.4082475 41.8179582, -71.4083008 41.8179349, -71.4084596 41.8178656, -71.4084674 41.8178622, -71.408633 41.8177899, -71.4089077 41.8176866, -71.408973 41.817662, -71.4090486 41.8176313, -71.409729 41.817355, -71.410316 41.817135, -71.4105 41.817055, -71.4114032 41.816687)",unclassified,"[201423868, 7259818685, 6985991940, 6985991941, 7273430092, 201423870, 7273430089, 9908429018, 8454769140, 6688119970, 7273430349, 201423873, 7273430348, 201360847, 201423876, 201423880, 201215984]",,,,parallel,0,0,20,20,asphalt,,
15,19375260,Fountain Street,"LINESTRING (-71.4178415 41.8217418, -71.4178058 41.8217641, -71.4177848 41.8217792, -71.417775 41.8217849, -71.4176155 41.8219238, -71.4174345 41.8220814, -71.417179 41.8223021, -71.4171146 41.8223653)",unclassified,"[201452800, 9906945694, 9906945696, 201452798, 9001717850, 201452796, 5689660019, 201452794]",yes,,parallel,,0,11,0,11,asphalt,,
16,19375884,Empire Street,"LINESTRING (-71.4153098 41.8209866, -71.4152719 41.8209546, -71.414803 41.82056, -71.41478 41.820534, -71.4147247 41.8204771, -71.4146993 41.8204511, -71.414635 41.820385, -71.414536 41.820273, -71.4144218 41.8201714, -71.4143997 41.8201528, -71.4143531 41.8201131)",secondary,"[201319599, 5689655376, 201461427, 201263932, 9904647819, 9904647826, 201461424, 201461411, 5740722900, 201461409, 201381708]",no,parallel,,,10,0,0,10,paved,3,
17,19378803,Stillman Street,"LINESTRING (-71.412758 41.827785, -71.412552 41.827942, -71.4121089 41.8283226, -71.4117061 41.8286418)",tertiary,"[201246155, 201499910, 201499914, 201304007]",,,parallel,,0,15,0,15,asphalt,,
18,19380569,Richmond Street,"LINESTRING (-71.4118189 41.8206204, -71.4118645 41.8206456, -71.411873 41.8206503, -71.4126841 41.821105, -71.4127035 41.8211167, -71.4128339 41.8211952)",tertiary,"[201521561, 9906940260, 201521556, 201521551, 7869917725, 201521547]",yes,,parallel,,0,16,0,16,asphalt,,
19,19381602,State Street,"LINESTRING (-71.4143547 41.8348172, -71.4143158 41.8346884, -71.414261 41.834507, -71.414177 41.834335, -71.414017 41.834064, -71.4139946 41.8340306, -71.413864 41.833836, -71.413757 41.833652, -71.413574 41.833378, -71.413498 41.833218, -71.41346 41.833099, -71.4134537 41.8329678, -71.4134685 41.8327587, -71.41346 41.832626, -71.4134277 41.8324807, -71.413399 41.832413, -71.413269 41.832233, -71.412933 41.831741, -71.4128889 41.831676, -71.4128255 41.8315542)",tertiary,"[201159999, 201533532, 201533528, 201533524, 201533520, 1593531194, 201533516, 201533513, 201533510, 201533508, 201533506, 201533504, 201533502, 201533499, 201533492, 201533488, 201533484, 201533480, 1593530738, 201284069]",yes,,,parallel,0,0,29,29,asphalt,1,
20,19383194,Aborn Street,"LINESTRING (-71.417794 41.8227862, -71.4179193 41.82285, -71.418098 41.822941, -71.418465 41.823162, -71.419052 41.82354)",unclassified,"[201551681, 5689645344, 201551685, 201551692, 201551697]",,,parallel,,0,20,0,20,asphalt,,
21,19384792,Dyer Street,"LINESTRING (-71.4080043 41.8193693, -71.4080099 41.819424, -71.4080123 41.8194477, -71.4080632 41.8199944, -71.4081591 41.8210484, -71.4081611 41.8210771, -71.4081521 41.8212104)",primary,"[201680041, 7033796936, 6985991929, 6985991928, 6985991927, 8996537179, 5255991882]",,,parallel,,0,34,0,34,asphalt,2,lane
22,19384796,Dyer Street,"LINESTRING (-71.4084328 41.8242185, -71.4084109 41.8240425, -71.4084007 41.8238749, -71.4083971 41.8238233, -71.408379 41.823631, -71.408368 41.823531, -71.408348 41.8232817, -71.4083009 41.8230497)",primary,"[201284776, 1359956952, 201569840, 1359956938, 201569844, 201434820, 2782796082, 201569766]",yes,,,parallel,0,0,10,10,asphalt,2,
23,19385363,Canal Street,"LINESTRING (-71.4112145 41.8307069, -71.4110742 41.8300502, -71.411034 41.829862, -71.410995 41.829681, -71.410962 41.829518, -71.410873 41.829086, -71.410866 41.829052, -71.410851 41.828957, -71.410828 41.828854, -71.4108026 41.8287581, -71.410761 41.8286431, -71.410749 41.82861, -71.410744 41.8285964, -71.4107335 41.8285676, -71.41069 41.828468)",primary,"[9697063202, 1593531081, 201185004, 201578252, 201578248, 201184991, 201578243, 201578239, 201578236, 201578231, 9898076721, 201578226, 8996877821, 201578223, 201303985]",yes,,,parallel,0,0,43,43,asphalt,2,
24,19386084,Adrian Hill Way,"LINESTRING (-71.4159313 41.822235, -71.4160107 41.8222687, -71.4161366 41.8223129, -71.4162961 41.822381)",unclassified,"[201551651, 5689641925, 201587639, 7113443450]",yes,parallel,,,4,0,0,4,asphalt,,
25,19387246,Park Row,"LINESTRING (-71.409637 41.828655, -71.4097178 41.828641, -71.4103281 41.8285351, -71.4106277 41.8284795, -71.4106624 41.8284731, -71.41069 41.828468)",tertiary,"[201401178, 8996877858, 201604122, 8996877824, 9898076725, 201303985]",,,parallel,,0,21,0,21,asphalt,,
26,19389178,Packet Street,"LINESTRING (-71.4061676 41.8235193, -71.4062435 41.8234785, -71.4067173 41.8232235, -71.4067891 41.8231849)",unclassified,"[201347329, 9879845981, 9879846034, 201324180]",,parallel,,,5,0,0,5,asphalt,,
27,19390131,Hospital Street,"LINESTRING (-71.4111096 41.817942, -71.4110453 41.8178477, -71.410805 41.817505, -71.4105 41.817055, -71.4103495 41.8168487, -71.4101029 41.8165105, -71.410065 41.81646, -71.4100393 41.8164252, -71.4097617 41.8160389, -71.409538 41.8157283, -71.409497 41.8156714)",unclassified,"[201639554, 9908315883, 201209546, 201423880, 9908315866, 7273430286, 201315006, 7273430282, 7150287914, 4405117522, 201302692]",,,,parallel,0,0,27,27,asphalt,,
28,19393128,Eddy Street,"LINESTRING (-71.4143466 41.8248469, -71.4143446 41.8248059, -71.4143324 41.8247692, -71.4142397 41.8246922, -71.4140061 41.8245007)",tertiary,"[201411279, 9908315737, 3875013269, 3875013268, 201436484]",yes,,,parallel,0,0,5,5,asphalt,,
29,19393130,Eddy Street,"LINESTRING (-71.4094176 41.820962, -71.4093889 41.8209163, -71.4092044 41.8206418)",unclassified,"[201360676, 9023635508, 201680241]",,,parallel,,0,9,0,9,asphalt,,
30,19395298,Chestnut Street,"LINESTRING (-71.4099774 41.8181445, -71.4099314 41.8181273, -71.4095835 41.8179779, -71.4095016 41.8179422, -71.4090312 41.8177378, -71.408973 41.817662, -71.4089459 41.8176223, -71.4087722 41.8173675, -71.4086002 41.8171151, -71.408579 41.817084, -71.4085445 41.817035, -71.4082963 41.8166819, -71.4080422 41.8163382, -71.4079916 41.8162698)",tertiary,"[201209532, 9870792012, 201505930, 7150287911, 201708117, 201423873, 7273430347, 8454769145, 7273430330, 201315000, 7273430332, 3732216356, 7273430337, 201302701]",,parallel,,,24,0,0,24,asphalt,,
31,19395320,Chestnut Street,"LINESTRING (-71.4143531 41.8201131, -71.4142513 41.8200422, -71.4142087 41.8200126, -71.4139714 41.8199098, -71.4139491 41.8199002, -71.4134125 41.8196678, -71.413037 41.8195052, -71.4129451 41.8194654)",tertiary,"[201381708, 7869917714, 9904872550, 6756048872, 9904639193, 201708272, 9904647891, 201622522]",yes,parallel,,,10,0,0,10,asphalt,,
32,19396157,Weybosset Street,"LINESTRING (-71.411462 41.8226613, -71.411203 41.82291, -71.4110672 41.8230509, -71.41099 41.8230979)",secondary,"[201680205, 201718071, 5152350659, 201411316]",no,parallel,,,4,0,0,4,asphalt,2,
33,19397466,Washington Street,"LINESTRING (-71.4159313 41.822235, -71.4159705 41.8222067, -71.4163396 41.8219405, -71.4164383 41.8218693)",secondary,"[201551651, 5689641926, 5689639721, 201461438]",,,parallel,,0,9,0,9,asphalt,,
34,19398934,Greene Street,"LINESTRING (-71.4149542 41.8194196, -71.4150158 41.8194722, -71.4151779 41.8196106, -71.415517 41.8199, -71.4155552 41.8199327, -71.4161277 41.8204214, -71.4164164 41.8206492, -71.4168688 41.8210061, -71.4171572 41.8212337, -71.4172187 41.8212822)",unclassified,"[201179853, 5740724038, 201164469, 7122075904, 6877352430, 201319603, 201749138, 9004641324, 5689659081, 201734869]",yes,parallel,,diagonal,20,0,48,68,asphalt,,
35,19399289,Mathewson Street,"LINESTRING (-71.4126262 41.8214444, -71.412724 41.8215066, -71.4130817 41.8217702, -71.4135917 41.8221615, -71.4136426 41.8222006)",tertiary,"[201718111, 6658050227, 201263911, 9908302605, 201319573]",yes,,,parallel,0,0,13,13,asphalt,,
