,name,parking,geometry,capacity,capacity:disabled,area,efficiency,area_percent
760594426,,surface,"POLYGON ((299611.8270872337 4632556.637668503, 299613.3366637581 4632555.928512143, 299610.3434023404 4632551.167599381, 299656.8952484161 4632521.934386094, 299660.6741579526 4632527.440005095, 299661.7827601787 4632526.364300724, 299667.2502521871 4632534.278334562, 299675.8648796494 4632545.626610924, 299674.850139095 4632546.78857617, 299678.2176346362 4632551.261192538, 299656.4717027941 4632567.81828027, 299663.6172650508 4632578.063228828, 299649.9985494644 4632588.613617945, 299640.8733688302 4632575.957338566, 299639.2349988044 4632575.336618686, 299630.7289401266 4632581.46514834, 299626.1941922996 4632575.980779094, 299617.883636069 4632565.10185001, 299611.8270872337 4632556.637668503))",72,3.0,2384.6132154395023,33.11962799221531,0.424436100187382
760594427,,surface,"POLYGON ((299711.0079787014 4632592.022921383, 299678.2176346362 4632551.261192538, 299656.4717027941 4632567.81828027, 299663.6172650508 4632578.063228828, 299638.7975208065 4632596.751400251, 299645.5836771132 4632605.150655955, 299647.6187807589 4632603.915573135, 299649.1397641084 4632605.684169616, 299659.2801289968 4632597.665095458, 299668.9001661445 4632590.060698483, 299666.1100398094 4632585.427408562, 299668.9123829125 4632583.3929141, 299679.7063438336 4632598.347072468, 299683.6853993109 4632595.590565533, 299691.2238819343 4632606.213436552, 299711.0079787014 4632592.022921383))",77,,1779.0795624459536,23.10492938241498,0.3166574715423871
760594428,,surface,"POLYGON ((299770.9843161741 4632602.162516681, 299782.9692161676 4632592.925043749, 299725.6859836789 4632566.796770874, 299714.4695880384 4632575.279342535, 299735.9827113248 4632604.011986038, 299759.1837650266 4632586.580861541, 299770.9843161741 4632602.162516681))",32,,1050.7441990702553,32.83575622094548,0.18702142857398238
760606388,,surface,"POLYGON ((299911.2359477368 4632243.764009795, 299896.1820277865 4632236.674333819, 299903.2039867569 4632222.364640126, 299918.1995748723 4632229.744889973, 299911.2359477368 4632243.764009795))",12,,263.40932594190554,21.95077716182546,0.04688409270396655
760606389,,surface,"POLYGON ((299826.1010452586 4632254.909162559, 299811.2357113212 4632248.025504471, 299806.0755641145 4632259.060458541, 299807.5458841193 4632259.319227719, 299806.1141444856 4632263.693239079, 299818.5275349143 4632269.70114319, 299826.1010452586 4632254.909162559))",10,,257.4053261872644,25.74053261872644,0.04581544382418744
760606390,Lot 105S,surface,"POLYGON ((299938.4369381699 4632438.534331379, 299914.0693157867 4632427.44984463, 299904.4338368957 4632422.964047564, 299904.7992975521 4632416.730864905, 299904.9861813551 4632413.614157106, 299916.1626660289 4632406.655431859, 299919.0763403979 4632411.252009267, 299920.4526607016 4632412.013493119, 299946.5972922923 4632425.992941984, 299938.4369381699 4632438.534331379))",16,,647.8113639170274,40.48821024481421,0.1153036170301253
760606391,Women & Infants Parking Lot,surface,"POLYGON ((299866.194013815 4632385.276920785, 299881.0040546801 4632408.275172274, 299881.339001439 4632408.954742317, 299885.2383987366 4632406.611752911, 299893.2766701822 4632419.054347186, 299915.0050030394 4632404.798802383, 299916.1626660289 4632406.655431859, 299919.0763403979 4632411.252009267, 299920.4526607016 4632412.013493119, 299946.7863869153 4632358.935592174, 299944.1614441303 4632356.631166311, 299938.5557736719 4632367.789638344, 299937.5426282826 4632368.418123084, 299938.2860233117 4632369.730756887, 299933.0326841583 4632373.000680812, 299934.72961999 4632375.708952307, 299929.4723410895 4632379.134562978, 299917.972172602 4632385.224465666, 299915.7348146248 4632381.92017678, 299898.2250798853 4632392.768102065, 299900.0018687489 4632395.951957917, 299891.0312728658 4632401.537561495, 299889.2209450377 4632398.343536237, 299876.2389015811 4632377.983176042, 299865.6910726575 4632384.535390679, 299866.194013815 4632385.276920785))",33,,1379.9804372166877,41.817589006566294,0.2456220200889803
760606392,Lot 233,surface,"POLYGON ((299857.0632179768 4632390.189207465, 299865.6910726575 4632384.535390679, 299866.194013815 4632385.276920785, 299881.0040546801 4632408.275172274, 299881.339001439 4632408.954742317, 299879.3277867592 4632410.155744758, 299878.4639433926 4632408.402000834, 299870.3202454989 4632412.942093695, 299857.0632179768 4632390.189207465))",10,,296.38783367782764,29.638783367782764,0.05275392061685698
760606393,,surface,"POLYGON ((299862.1763710282 4632420.438094487, 299865.7654208023 4632418.292712137, 299864.2406077929 4632415.201805339, 299870.3202454989 4632412.942093695, 299857.0632179768 4632390.189207465, 299846.9204399175 4632395.474387599, 299862.1763710282 4632420.438094487))",22,,302.8487924088065,13.765854200400296,0.05390390339372541
760606394,Lot 108,surface,"POLYGON ((299858.5590273519 4632467.789437125, 299862.6315235544 4632446.139370652, 299880.6157320876 4632450.13528332, 299876.3400969845 4632470.768697091, 299858.5590273519 4632467.789437125))",12,,392.62752244878664,32.71896020406555,0.06988357414755113
760606395,60 Ship Street Parking Lot,surface,"POLYGON ((299864.8177780039 4632487.616104499, 299867.5783702597 4632470.758950262, 299878.0447133124 4632472.565524906, 299884.2620967345 4632473.735682319, 299881.6860688022 4632490.654323757, 299864.8177780039 4632487.616104499))",14,,291.8439484621975,20.845996318728393,0.051945156785417036
760606396,Lot 105N,surface,"POLYGON ((299881.6860688022 4632490.654323757, 299884.2620967345 4632473.735682319, 299878.0447133124 4632472.565524906, 299882.4330961088 4632449.728698093, 299898.1664410591 4632452.309859326, 299913.5772906903 4632456.433608981, 299926.708004924 4632462.543789854, 299922.3200203306 4632471.767910983, 299919.3942196194 4632477.40617118, 299917.1120363199 4632482.281849009, 299896.5547087466 4632472.490703169, 299892.4319789637 4632492.353062257, 299881.6860688022 4632490.654323757))",43,,1162.0571154758445,27.024584080833595,0.20683395826801274
760606397,219 Richmond Street Praking Lot,surface,"POLYGON ((299894.614075299 4632493.39196826, 299898.1451132746 4632474.957482262, 299915.7978166711 4632483.141031341, 299912.952181538 4632491.043970836, 299906.8017874975 4632490.483091125, 299905.9587369126 4632495.396187516, 299894.614075299 4632493.39196826))",9,,262.6294147153701,29.18104607948557,0.04674527669919906
760606398,,surface,"POLYGON ((299849.9419710567 4632379.621133395, 299860.5343351287 4632372.878735083, 299844.3900595893 4632346.773154917, 299833.8283024325 4632354.014773598, 299849.9419710567 4632379.621133395))",14,,386.2540715658045,27.58957654041461,0.06874916684829016
