,count,disabled_count,area_sum,area_mean,area_median,area_percent_sum,area_percent_mean,area_percent_median,capacity_sum,capacity_mean,capacity_median,capacity:disabled_sum,capacity:disabled_mean,capacity:disabled_median,efficiency_sum,efficiency_mean,efficiency_median,count_disabled
surface,103.0,,109239.94745522816,1060.5820141284287,642.0508351640694,19.44356299896881,0.18877245630066808,0.11427830343079923,3516.0,34.13592233009709,18.0,75.0,2.586206896551724,2.0,3474.953767022706,33.73741521381268,29.78660539331036,29.0
structured,4.0,,14976.327380692872,3744.081845173218,3374.200729568975,2.665628936145622,0.6664072340364054,0.6005722813390187,3264.0,816.0,832.0,0.0,,,19.41648879968433,4.854122199921083,4.404128569578502,0.0
underground,0.0,,,,,,,,0.0,,,0.0,,,,,,0.0
street,,,9082.85151168,,,1.616652146871544,,,639.0,,,,,,14.21416512,,,
