,geometry,u,v,key,osmid,highway,name,lanes,oneway,length,capacity,ref
230,"LINESTRING (-71.40815910000001 41.8210484, -71.4081521 41.8212104)",6985991927.0,5255991882.0,0.0,19384792.0,primary,Dyer Street,2,False,18.023,34.0,
231,"LINESTRING (-71.40815910000001 41.8210484, -71.40806329999999 41.8199956)",6985991927.0,6985991928.0,0.0,19384792.0,primary,Dyer Street,2,False,117.335,34.0,
232,"LINESTRING (-71.40806329999999 41.8199956, -71.40815910000001 41.8210484)",6985991928.0,6985991927.0,0.0,19384792.0,primary,Dyer Street,2,False,117.335,34.0,
233,"LINESTRING (-71.40806329999999 41.8199956, -71.4080123 41.8194477)",6985991928.0,6985991929.0,0.0,19384792.0,primary,Dyer Street,2,False,61.07,34.0,
234,"LINESTRING (-71.4080123 41.8194477, -71.40806329999999 41.8199956)",6985991929.0,6985991928.0,0.0,19384792.0,primary,Dyer Street,2,False,61.07,34.0,
235,"LINESTRING (-71.4080123 41.8194477, -71.4080099 41.819424)",6985991929.0,7033796936.0,0.0,19384792.0,primary,Dyer Street,2,False,2.643,34.0,
236,"LINESTRING (-71.4080099 41.819424, -71.4080123 41.8194477)",7033796936.0,6985991929.0,0.0,19384792.0,primary,Dyer Street,2,False,2.643,34.0,
237,"LINESTRING (-71.4080099 41.819424, -71.4080043 41.8193693)",7033796936.0,201680041.0,0.0,19384792.0,primary,Dyer Street,2,False,6.1,34.0,
238,"LINESTRING (-71.4082664 41.8161626, -71.4079916 41.8162698)",7046793511.0,201302701.0,0.0,162270587.0,primary,Point Street,,False,25.704,21.0,
239,"LINESTRING (-71.4082664 41.8161626, -71.40834630000001 41.8161314)",7046793511.0,3732216348.0,0.0,162270587.0,primary,Point Street,,False,7.475,21.0,
240,"LINESTRING (-71.4117444 41.8189248, -71.4115039 41.818803)",7150287907.0,4569158439.0,0.0,761494796.0,tertiary,Chestnut Street,,False,24.096,4.0,
241,"LINESTRING (-71.4117444 41.8189248, -71.4121916 41.8191513)",7150287907.0,201708273.0,0.0,761494796.0,tertiary,Chestnut Street,,False,44.807,4.0,
