,name,parking,geometry,capacity,capacity:disabled,area,efficiency,area_percent
313089120,Garrahy Garage,multi-storey,"POLYGON ((299759.3717011451 4632630.580664106, 299803.9969253961 4632597.26869177, 299871.5937428834 4632685.848675759, 299858.6005855441 4632695.292096122, 299854.1684418994 4632688.715703607, 299821.886441311 4632713.702240878, 299759.3717011451 4632630.580664106))",1250,,5931.075397050314,4.744860317640251,1.0556691102533349
461418249,Coro Garage,multi-storey,"POLYGON ((299647.8131891638 4632190.895529638, 299673.1425667924 4632139.978354234, 299711.6743003878 4632158.965343256, 299706.3333325746 4632169.183133366, 299702.6331212914 4632176.254500186, 299733.9750235046 4632191.431911381, 299717.94289748 4632225.308099562, 299647.8131891638 4632190.895529638))",920,,3738.3250757954133,4.063396821516753,0.6653825895663618
544197959,South Street Landing Parking Garage,multi-storey,"POLYGON ((300053.159762745 4632500.235864338, 300087.5454260054 4632429.830883942, 300053.9502306661 4632411.30369897, 300020.9259735865 4632478.670344703, 300025.3153606338 4632480.758639886, 300023.4378244431 4632485.245113904, 300053.159762745 4632500.235864338))",744,,3010.0763833425367,4.045801590514162,0.5357619731116757
760828006,The Richmond Garage,multi-storey,"POLYGON ((299956.7930781798 4632431.785451746, 300008.1250102866 4632457.337922027, 300016.8053648912 4632441.103845632, 299991.0196480794 4632428.05863863, 299992.8777585421 4632424.361679005, 299996.7584504763 4632416.60755411, 299998.5375538402 4632413.05727254, 300010.3431290452 4632389.101367285, 299988.4292986767 4632379.259084894, 299986.6351347587 4632382.8653527, 299982.0044881229 4632380.772730157, 299956.7930781798 4632431.785451746))",350,,2296.850524504607,6.562430070013163,0.40881526321424966
